TransactionID,ato_risk_score,recommended_action
3031737,36.5,allow
3324610,18.77,allow
3327893,5.39,allow
3125040,19.27,allow
3151566,6.32,allow
3173632,2.27,allow
3183742,1.02,allow
3184319,0.64,allow
3186608,0.5,allow
3188417,0.52,allow
3188929,0.48,allow
3208973,0.57,allow
3220760,0.81,allow
3222357,0.79,allow
3222402,0.74,allow
3228576,0.68,allow
3231043,0.62,allow
3233275,0.51,allow
3235986,0.44,allow
3236113,0.43,allow
3236133,0.42,allow
3237374,0.48,allow
3238713,0.52,allow
3309715,0.52,allow
3312513,0.62,allow
3319570,0.71,allow
3329577,0.92,allow
3336105,1.06,allow
3339733,1.08,allow
3344532,1.09,allow
3361504,1.03,allow
3394584,1.08,allow
3402082,0.83,allow
3403309,0.68,allow
3406659,0.62,allow
3408953,0.58,allow
3457441,0.56,allow
3526578,0.58,allow
3557910,0.68,allow
2994376,32.7,allow
3054754,13.85,allow
3068937,3.76,allow
3077524,1.31,allow
3083007,0.74,allow
3107789,11.51,allow
3116707,4.61,allow
3119737,2.88,allow
3146297,1.91,allow
3146314,1.62,allow
3154139,1.5,allow
3174397,1.4,allow
3194680,1.42,allow
3212372,1.41,allow
3214688,1.82,allow
3218265,1.12,allow
3238280,2.12,allow
3279073,1.59,allow
3333940,1.08,allow
3350260,0.9,allow
3392891,0.71,allow
3440627,0.66,allow
3443072,0.55,allow
3475518,0.49,allow
3494705,0.52,allow
3518653,0.54,allow
3520668,0.66,allow
3524203,0.64,allow
3537620,0.66,allow
3544389,0.63,allow
3544391,0.6,allow
3045162,18.66,allow
3045185,5.32,allow
3060707,1.72,allow
3104356,0.94,allow
3127765,0.83,allow
3139465,1.17,allow
3139470,1.16,allow
3147979,1.05,allow
3189203,1.2,allow
3250611,1.16,allow
3279581,1.13,allow
3289245,0.96,allow
3308049,0.88,allow
3318607,1.05,allow
3330873,0.93,allow
3363415,0.79,allow
3369893,0.75,allow
3453332,0.72,allow
3465092,0.83,allow
3481348,0.8,allow
3482761,0.79,allow
3492986,0.74,allow
3496846,0.65,allow
3083455,18.46,allow
3091373,5.65,allow
3105614,10.2,allow
3123783,5.0,allow
3223838,2.49,allow
3225269,1.97,allow
3233025,1.6,allow
3244857,1.41,allow
3245163,1.17,allow
3245851,1.15,allow
3258097,0.91,allow
3258150,0.72,allow
3266459,0.48,allow
3293529,41.69,allow
3336412,26.38,allow
3343194,19.27,allow
3344162,13.2,allow
3348014,9.88,allow
3382512,6.04,allow
3392538,4.95,allow
3404941,3.27,allow
3409243,2.37,allow
3415940,1.77,allow
3419889,0.59,allow
3421107,0.58,allow
3425471,0.57,allow
3437616,0.51,allow
3437875,0.55,allow
3464035,0.44,allow
3470442,0.56,allow
3502564,0.55,allow
3504483,0.5,allow
3504942,0.55,allow
3516942,0.51,allow
3558580,0.68,allow
3569448,0.68,allow
3044843,47.01,step_up_auth
3064933,32.95,allow
3067478,38.07,allow
3073412,48.37,step_up_auth
3077261,31.22,allow
3109545,40.33,allow
3109559,36.24,allow
3155690,38.34,allow
3159898,37.38,allow
3171898,34.98,allow
3171905,42.43,allow
3245668,45.27,step_up_auth
3328934,56.23,step_up_auth
3328948,48.73,step_up_auth
3374489,21.45,allow
3374500,69.69,step_up_auth
3374502,77.87,step_up_auth
3374818,79.54,step_up_auth
3397941,76.51,step_up_auth
3399706,69.94,step_up_auth
3453245,59.36,step_up_auth
3455502,57.54,step_up_auth
3455968,57.67,step_up_auth
3489076,51.15,step_up_auth
3491044,46.38,step_up_auth
3494414,48.56,step_up_auth
3512146,44.0,allow
3514828,30.44,allow
3549710,49.0,step_up_auth
3549722,54.52,step_up_auth
3396516,19.29,allow
3494603,16.75,allow
3379289,31.15,allow
3379296,28.36,allow
3150309,33.65,allow
3341001,21.26,allow
3346541,12.54,allow
3368919,8.23,allow
3536163,20.14,allow
3225117,19.36,allow
3269322,5.61,allow
3343172,1.67,allow
3472612,0.8,allow
3076554,19.06,allow
3106574,6.03,allow
3115139,1.96,allow
3125507,0.88,allow
3151253,0.7,allow
3177540,0.58,allow
3194806,0.53,allow
3194817,0.49,allow
3214762,0.47,allow
3258913,0.54,allow
3270994,0.52,allow
3275419,11.95,allow
3293202,9.29,allow
3317353,5.84,allow
3342516,4.01,allow
3347285,2.77,allow
3368847,1.78,allow
3387199,1.12,allow
3394229,1.34,allow
3410358,0.93,allow
3434748,0.65,allow
3442684,0.58,allow
3452905,3.86,allow
3472512,2.95,allow
3474941,1.75,allow
3481234,1.09,allow
3513806,0.75,allow
3530805,0.55,allow
3552939,0.53,allow
3563390,0.48,allow
3571915,0.44,allow
3196589,34.94,allow
3134907,43.65,allow
3340247,55.15,step_up_auth
3521755,37.23,allow
3056285,27.69,allow
3057593,29.36,allow
3057594,27.12,allow
3057597,26.1,allow
3085238,27.47,allow
3085247,40.01,allow
3085254,45.95,step_up_auth
3326008,40.95,allow
3525759,24.01,allow
3525763,39.73,allow
3166155,35.09,allow
3517231,39.29,allow
3562424,54.34,step_up_auth
3050523,20.67,allow
3052947,7.85,allow
3134751,3.1,allow
3152230,1.62,allow
3208701,11.5,allow
3237544,6.88,allow
3012316,30.01,allow
3173753,18.78,allow
3192596,5.59,allow
3279500,1.74,allow
3325390,0.96,allow
3347562,0.61,allow
3368114,0.48,allow
3389266,0.46,allow
3408271,0.44,allow
3448813,0.4,allow
3467009,0.38,allow
3485950,0.34,allow
3486247,0.32,allow
3528593,0.31,allow
3549113,0.32,allow
3572662,0.31,allow
2993787,19.1,allow
2997792,5.57,allow
3005679,1.69,allow
3005718,0.8,allow
3006304,0.56,allow
3009884,0.49,allow
3013258,0.5,allow
3021713,0.59,allow
3022323,3.9,allow
3026162,2.0,allow
3030129,0.98,allow
3031906,0.76,allow
3031993,0.63,allow
3035812,0.56,allow
3039138,0.55,allow
3040905,0.5,allow
3042520,0.94,allow
3047517,1.08,allow
3047692,12.03,allow
3048361,4.59,allow
3048827,1.71,allow
3051503,0.98,allow
3054431,0.84,allow
3059834,0.71,allow
3063613,0.63,allow
3064259,0.59,allow
3067520,5.82,allow
3068908,2.24,allow
3069989,1.06,allow
3070379,0.76,allow
3078922,0.61,allow
3084417,4.17,allow
3084689,7.71,allow
3094789,3.2,allow
3103818,9.04,allow
3112451,10.34,allow
3119180,5.48,allow
3119220,2.84,allow
3123580,1.73,allow
3129914,1.46,allow
3130591,1.32,allow
3135920,1.13,allow
3137591,0.98,allow
3144005,0.84,allow
3153483,0.8,allow
3156363,0.6,allow
3158633,0.51,allow
3159024,0.49,allow
3159566,0.49,allow
3161354,0.48,allow
3161900,0.5,allow
3164165,0.52,allow
3164191,0.52,allow
3164234,0.52,allow
3164265,0.52,allow
3164275,0.51,allow
3165039,0.5,allow
3167386,1.03,allow
3168713,1.26,allow
3168759,1.16,allow
3169311,1.02,allow
3169428,0.97,allow
3169767,0.88,allow
3172248,0.81,allow
3181934,0.77,allow
3182027,0.76,allow
3183212,0.72,allow
3189634,0.57,allow
3191273,0.56,allow
3192508,0.52,allow
3192618,0.53,allow
3198893,4.03,allow
3200558,1.66,allow
3205135,0.89,allow
3205176,0.64,allow
3205315,0.54,allow
3207729,0.61,allow
3222338,0.66,allow
3222554,0.65,allow
3222961,0.69,allow
3224349,0.68,allow
3224748,0.69,allow
3226306,0.67,allow
3226470,0.6,allow
3226473,0.56,allow
3226476,0.52,allow
3227478,0.5,allow
3230701,0.5,allow
3235050,0.51,allow
3238563,0.46,allow
3242844,0.52,allow
3250330,0.57,allow
3257204,0.58,allow
3258275,0.6,allow
3259655,0.52,allow
3259926,0.58,allow
3268060,1.16,allow
3272497,1.23,allow
3276203,0.92,allow
3276842,42.65,allow
3290103,20.77,allow
3293338,10.68,allow
3293353,4.98,allow
3295381,2.62,allow
3296116,1.82,allow
3296526,1.37,allow
3298123,1.06,allow
3298514,0.99,allow
3305454,0.87,allow
